,City/County,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,CY Total
378, Udall ,4321.99,5272.37,3396.76,5090.2,6413.19,5396.39,5801.91,5827.67,6587.66,7488.51,6401.19,5188.14,67185.98
379, Ulysses ,106385.71,103077.21,106698.03,88083.16,114498.88,118634.89,118488.08,98150.5,118343.69,101922.07,118116.22,108415.03,1300813.47
380, Uniontown ,5150.09,874.63,1439.57,1258.77,1551.62,1925.11,2181.75,1745.55,1909.01,2001.24,2019.19,1093.85,23150.38
381, Utica ,611.88,801.11,1201.52,971.85,836.59,1021.63,787.5,1018.51,898.16,740.42,809.51,1251.81,10950.49
382, Valley Center ,,,,,2345.53,37515.16,39947.71,37238.58,43649.69,38143.59,31983.75,56230.11,287054.12
383, Valley Falls ,23971.88,16840.24,19029.44,20568.65,23218.26,17399.57,16934.01,20665.44,24003.51,14931.71,19588.96,25199.95,242351.62
384, Victoria ,6406.39,6643.23,6644.59,4930.03,7535.66,6072.96,5633.01,6775.14,7492.24,8413.38,5441.73,8955.72,80944.08
385, Wakeeney ,20987.35,23995.67,23766.55,16583.91,27172.15,23411.31,25113.22,26545.17,30716.46,28601.01,21780.64,26308.96,294982.4
386, Wakefield ,4078.77,5057.81,4303.06,4097.67,4492.43,4969.05,4234.31,5229.19,6260.25,4341.1,5166.37,5362.0,57592.01
387, Wamego ,97425.4,97989.69,104019.08,77001.84,105332.24,108411.79,112335.63,105601.75,113338.56,84976.34,81854.11,127011.94,1215298.37
388, Washington ,15370.76,15447.36,14590.28,13593.17,14472.09,17206.69,14459.5,11877.28,13477.97,14092.95,11622.53,17774.43,173985.01
389, Waterville ,4341.37,8213.76,6457.2,5826.7,8442.45,6355.26,8299.56,11159.65,7076.18,7015.18,6835.0,9964.86,89987.17
390, Wathena ,10319.99,10658.47,10980.15,9629.87,10445.99,13762.37,12060.39,11166.62,12785.91,8407.56,9041.63,15369.0,134627.95
391, Waverly ,4235.68,3995.52,3991.12,3661.42,4740.4,4997.58,4582.45,4402.35,4442.21,4367.25,3642.76,4432.43,51491.17
392, Weir ,1934.83,1743.11,1668.25,2151.28,2350.87,1836.76,1639.44,1428.69,1413.36,1651.75,1218.67,2798.49,21835.5
393, Wellington ,194392.62,225049.82,197772.61,182448.77,214627.08,241451.19,213652.68,202994.0,220726.98,201003.34,176580.36,242978.09,2513677.54
394, Wellsville ,18005.49,18241.64,23173.85,21466.13,22629.61,25356.18,23109.71,24053.41,25047.04,19183.51,20609.74,25083.2,265959.51
395, Westmoreland ,4275.8,4826.82,4344.15,4723.8,4835.22,5618.78,4986.68,4571.97,4756.61,4428.33,3850.82,5924.26,57143.24
396, Westwood ,56504.55,55788.71,63914.54,53863.06,57179.73,58124.82,65732.82,66023.22,68427.61,62234.14,55642.2,77490.31,740925.71
397, Westwood Hills ,3128.87,2450.27,3680.84,2831.09,2246.54,1864.87,2698.06,2037.98,2371.82,2227.7,1471.2,2759.1,29768.34
398, White Cloud ,,,,,21.21,264.31,438.51,364.23,588.76,282.15,1271.86,588.57,3819.6
399, Whitewater ,1599.94,2131.75,1557.52,1645.96,2681.71,2818.37,2035.43,3364.25,1946.02,1673.44,2157.81,2353.5,25965.7
400, Willard ,99.23,112.42,129.42,94.51,128.7,175.24,103.65,103.0,228.48,63.14,108.44,150.06,1496.29
401, Williamsburg ,1223.23,1289.33,1214.73,1824.12,2681.28,2187.32,1787.52,1286.9,1605.12,1285.34,1313.01,1381.72,19079.62
402, Wilmore ,159.49,296.06,179.81,171.67,259.6,142.35,266.05,239.59,168.55,146.04,247.04,3201.49,5477.74
403, Wilson ,4430.49,4768.21,5070.54,4522.74,4553.1,4070.14,7051.5,6843.0,7562.16,5795.87,6251.23,6686.18,67605.16
404, Winchester ,970.96,1213.65,1173.94,1138.69,1186.4,1424.37,965.21,993.95,1419.47,1049.24,1542.26,992.05,14070.19
405, Winfield ,255172.68,307484.2,268703.95,253744.17,303837.77,288843.6,281369.52,267776.82,278505.98,284186.11,279597.92,315406.02,3384628.74
406, Yates Center ,25344.48,27721.63,28961.44,23712.8,26503.64,30489.01,29538.18,27505.62,29946.26,29456.02,13462.65,40720.09,333361.82
407, Horsethief Reservior ,185353.44,204835.46,196291.95,180231.1,227216.94,218507.0,220402.4,214664.73,224493.94,216543.69,185057.88,250229.12,2523827.65
409, Statewide ,82801842.26,90921695.31,84388501.33,77180959.97,95590630.56,95944377.41,95659479.83,92637382.75,98138284.83,93641578.14,83040261.89,113029582.12,1102974576.4
411, Washburn U. (in Shawnee Co) ,1578794.1,1805785.61,1626946.66,1478683.02,1920571.93,1825187.75,1838200.81,1760423.8,1883967.03,1663706.24,1546919.2,2126073.58,21055259.73
