,City/County,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,CY Total
81, Shawnee County ,2794476.62,3196672.89,2880110.83,2617592.5,3400837.17,3231860.89,3253657.15,3118905.67,3340440.68,3030633.97,3040404.74,3763908.26,37669501.37
82, Sheridan County ,59936.61,59591.8,53713.65,51604.63,74256.22,68703.61,60074.11,79882.95,79730.91,68971.46,58042.93,79260.84,793769.72
83, Sherman County ,208874.54,250349.68,229315.73,193289.29,250329.42,252779.11,246445.85,225910.26,262771.98,277030.21,180085.13,262195.47,2839376.67
84, Smith County ,70677.67,81480.83,75625.88,62504.02,76640.81,87173.98,73937.15,79174.92,81900.47,77068.13,72316.29,90805.84,929305.99
85, Stafford County ,40096.49,31941.0,32868.1,32798.41,36405.81,32691.95,34933.7,39964.98,37142.01,37367.49,43590.89,53609.75,453410.58
86, Stanton County ,18326.64,15374.74,20328.62,26266.93,16817.76,24598.94,18772.21,18425.55,20214.99,20836.54,16402.7,26876.16,243241.78
87, Stevens County ,51263.68,64009.96,52226.6,52350.12,65441.71,57478.39,57219.98,61970.67,67907.05,64571.72,44283.74,81440.84,720164.46
88, Sumner County ,181603.51,202280.1,186034.14,180969.97,203726.41,216140.19,204290.98,197103.13,219234.03,221008.63,181417.09,237023.68,2430831.86
89, Thomas County ,253255.05,318026.09,270689.92,231617.06,303710.05,310219.05,301912.13,298816.63,322357.3,339136.97,281781.68,341114.46,3572636.39
90, Trego County ,32852.29,36957.34,32812.24,21896.72,37647.38,31745.23,34127.16,34389.68,40351.57,50285.79,44697.64,39601.41,437364.45
91, Wabaunsee County ,54849.98,59278.61,59134.64,61104.3,70660.29,59109.43,65167.78,69112.86,73136.97,72175.41,66698.29,95412.09,805840.65
92, Wallace County ,13851.71,13170.04,13563.6,11528.22,14261.1,15648.6,11934.04,15581.43,15163.92,15961.36,17080.88,16264.4,174009.3
93, Washington County ,47877.8,53112.03,46781.06,42214.38,52886.57,50944.54,47047.22,47526.07,52197.06,51149.94,48991.79,59079.32,599807.78
94, Wichita County ,85803.03,77235.67,48620.03,44894.92,62155.99,50203.17,51009.47,53571.27,62552.76,56869.87,52918.87,59492.67,705327.72
95, Wilson County ,,,,,,,,,,,,,
96, Woodson County ,130.82,,43.43,,1622.67,23046.95,24029.99,34395.69,48923.36,32451.28,19973.01,40652.13,225269.33
97, Wyandotte County ,2208793.02,2376578.74,2147112.75,1998574.82,2497488.18,2464431.65,2452570.83,2450847.33,2526086.6,2691934.68,2834073.16,2776032.62,29424524.38
98, Abilene ,76905.07,83733.25,76550.26,71268.32,88129.55,101348.08,94478.4,82821.52,92840.32,79248.24,62697.42,111259.76,1021280.19
99, Alden ,466.91,1407.56,532.22,454.28,1113.23,465.14,624.08,565.89,602.1,930.99,780.84,955.83,8899.07
100, Alma ,7441.88,9643.11,8262.01,12088.75,10737.59,8890.16,8119.43,8791.18,9596.68,13338.85,8209.28,9622.25,114741.17
101, Almena ,1510.52,839.69,992.93,703.48,1168.41,954.19,750.64,1090.1,700.76,906.04,513.69,1274.15,11404.6
102, Altamont ,6125.74,5715.27,6338.03,4134.96,12184.04,9606.21,9281.39,8885.25,8788.31,9222.38,7572.01,12824.5,100678.09
103, Altoona ,1232.03,1430.07,1465.13,1408.0,2087.66,1927.32,1722.64,1781.04,1779.81,1161.49,1658.36,1757.98,19411.53
104, Americus ,2384.34,2495.37,2884.84,2410.83,3342.31,2709.21,2659.58,2005.62,3316.04,2771.11,3083.19,3263.65,33326.09
105, Andover ,155780.66,218896.89,166961.66,159992.97,169745.63,175780.86,201165.71,191896.02,218115.09,172060.79,167627.8,230815.58,2228839.66
106, Anthony ,10876.53,12475.96,10642.44,10277.24,11557.11,12495.52,11385.66,11514.49,11048.29,9506.76,10774.26,11841.66,134395.92
107, Argonia ,1262.29,1985.58,1781.73,4440.2,1979.12,1405.21,1440.01,1703.71,1722.07,2049.06,1714.49,2995.88,24479.35
108, Arkansas City ,284245.08,332682.47,302878.63,269408.09,324174.8,317518.64,319012.83,296345.64,309443.92,311475.7,268909.37,337202.19,3673297.36
109, Arma ,8999.8,8432.32,7693.68,9257.31,8169.18,7509.9,6658.25,7630.67,7623.38,6941.4,7257.44,8538.26,94711.59
110, Ashland ,9919.03,8324.53,8172.15,7052.95,8901.24,8544.41,7681.77,8324.49,9625.1,7379.73,8659.81,8505.65,101090.86
111, Atchison ,126967.33,143043.1,133064.1,129634.52,155623.03,156215.29,146301.76,138068.16,146223.43,147416.13,129376.03,165114.75,1717047.63
112, Attica ,7179.15,11074.14,7158.77,9030.01,17322.1,11969.28,8988.21,9542.79,10050.2,9116.65,8023.25,12177.02,121631.57
113, Auburn ,11568.58,11614.12,10592.5,11111.15,12643.19,14066.2,14447.96,18540.79,12640.68,12942.08,14657.43,16386.96,161211.64
114, Augusta ,185953.22,214492.97,185242.59,191549.04,190309.87,198422.54,203102.25,197838.53,195702.65,190068.92,196105.69,205572.75,2354361.02
115, Axtell ,4292.63,3875.74,4163.07,5656.82,5194.8,5283.05,6102.35,5810.12,4887.32,4931.49,2780.96,7479.45,60457.8
116, Baldwin City ,36555.62,38946.07,42187.89,38605.1,46828.26,45483.57,46505.9,61057.38,47880.32,42238.98,43093.7,55580.51,544963.3
117, Basehor ,45510.64,48476.88,44705.15,46687.36,51904.38,55009.68,57052.32,54736.71,66758.68,61090.49,43505.12,64651.82,640089.23
118, Baxter Springs ,75697.15,62127.97,90111.35,68027.79,68909.66,62236.27,62155.53,57136.26,63892.21,61957.2,50140.27,80911.56,803303.22
119, Belle Plaine ,6496.99,7822.57,7998.99,7115.29,7838.54,8764.48,9211.29,6919.67,8241.21,7841.51,6348.46,10999.66,95598.66
120, Belleville ,14896.91,13309.26,16129.93,14277.29,16196.51,14912.91,16683.06,15933.7,16066.81,16188.82,11881.3,18873.95,185350.45
121, Beloit ,66958.33,66102.76,63953.55,71642.43,81462.03,87952.0,92322.92,80357.88,73439.63,69161.01,65389.34,82349.68,901091.56
122, Bennington ,2549.66,1819.17,2772.84,2502.48,2894.64,2736.53,2585.39,2391.98,2958.34,2814.04,3483.49,3320.15,32828.71
123, Benton ,8299.25,8447.72,9900.63,8807.25,10841.36,10216.81,12761.58,14160.46,12922.86,10100.64,9145.32,12203.25,127807.13
124, Beverly ,,,,,12.49,604.64,898.01,264.15,889.42,335.54,1071.39,697.66,4773.3
125, Blue Rapids ,11745.59,15696.23,15816.82,20057.45,19632.83,18933.21,17031.74,17660.11,20531.86,19660.98,18420.74,21683.81,216871.37
126, Bonner Springs ,268186.27,293074.74,239468.82,237783.72,297620.9,300332.72,309897.02,303728.67,315392.33,321772.89,285448.86,446559.8,3619266.74
127, Bronson ,1373.45,1584.2,1313.3,1360.02,1241.43,1230.78,1205.41,1122.78,1416.95,1445.36,749.53,1914.48,15957.69
128, Buhler ,6709.93,9619.57,5842.68,4967.84,6598.04,6135.75,7003.01,4662.43,7631.97,5121.15,4982.05,8966.67,78241.09
129, Burden ,1997.74,2504.74,2003.65,1895.96,2486.91,2173.25,2367.93,2228.22,2295.7,2143.51,2639.72,2130.16,26867.49
130, Burlingame ,7650.94,9142.22,8425.94,7435.6,5818.48,18404.21,8604.26,8812.44,9386.04,6349.96,7620.83,10195.48,107846.4
131, Burlington ,70841.83,66774.18,76483.27,72959.46,82805.04,107478.27,80987.31,78488.81,80566.12,94720.46,77077.46,88457.88,977640.09
132, Burrton ,6164.58,5626.57,7650.98,6042.64,11021.92,6396.29,9184.78,7315.41,7895.29,6152.5,5040.3,8489.5,86980.76
133, Caldwell ,8513.66,12386.61,9118.81,10810.53,10075.96,10782.29,9521.29,11745.93,10441.57,10196.53,8836.52,10803.84,123233.54
134, Caney ,34569.23,37507.61,42944.2,37723.77,34733.99,48453.3,50289.99,38265.14,52069.54,43918.07,45134.58,57302.14,522911.56
135, Canton ,5590.82,5638.59,5297.45,3946.07,4113.83,5884.99,6103.68,3973.76,4987.92,5166.9,5824.17,5681.95,62210.13
136, Carbondale ,13264.59,23084.12,18551.78,16486.12,17230.92,20101.16,19312.9,16854.22,19496.07,17986.1,17324.73,21159.93,220852.64
137, Cawker City ,3545.68,3902.1,3376.69,2539.3,4912.0,4225.62,4439.5,4515.02,3980.07,3315.67,4386.14,5594.43,48732.22
138, Cedar Vale ,3986.59,4563.66,3896.89,3455.68,3815.36,3735.62,4139.15,4358.03,3986.48,3907.37,2511.48,4131.14,46487.45
139, Chanute ,176368.59,190909.54,218335.96,153641.97,253615.04,215621.58,186548.58,231011.94,184630.77,202962.75,187864.89,230215.27,2431726.88
140, Chapman ,6712.0,8421.15,9426.87,9072.21,9002.92,9123.74,6690.42,9644.91,10057.96,7564.03,8179.69,11577.61,105473.51
141, Chase ,932.59,804.69,981.78,769.43,1152.4,1049.63,1027.73,1217.34,1178.1,1234.21,1013.82,1190.51,12552.23
142, Cherokee ,4089.88,4738.59,2902.24,3612.59,3500.54,3511.31,3473.44,3319.72,3450.2,3018.62,2298.22,4086.23,42001.58
143, Cherryvale ,49164.09,55538.53,48972.41,45540.26,50460.11,48371.82,46694.0,51138.59,81802.81,43586.16,46421.3,51666.43,619356.51
144, Chetopa ,9081.62,12992.07,9659.86,12202.9,10850.42,9566.19,8579.58,10186.22,9878.66,8649.21,6770.53,9766.85,118184.11
145, Cimarron ,20973.82,22972.93,20439.74,17971.0,27066.07,20574.29,19911.77,22242.69,19713.52,21861.21,18221.19,25663.76,257611.99
146, Claflin ,1608.75,2369.62,2350.38,1593.32,2368.18,1999.5,1991.52,2224.58,2242.49,1850.99,1203.28,3115.27,24917.88
147, Clay Center ,128397.07,156730.04,129745.91,134572.4,176643.38,158596.49,170718.43,325578.74,157163.57,135270.06,114521.28,187581.91,1975519.28
148, Clifton ,3367.49,4713.32,3886.69,2773.07,5939.76,4166.62,3636.42,4857.06,3697.21,6137.11,4151.1,4673.55,51999.4
149, Coffeyville ,346336.83,363121.99,362309.33,340312.06,397152.14,409010.19,377213.14,353761.03,365161.97,377217.57,354820.58,397487.56,4443904.39
150, Colby ,96426.34,123036.37,101565.54,91526.36,111600.07,117059.7,115781.22,112723.25,123849.62,117269.57,104064.87,122447.31,1337350.22
151, Coldwater ,20019.56,17571.55,21438.34,20991.95,25483.73,21173.82,21628.37,19610.14,23076.19,23831.39,26336.36,29357.49,270518.89
152, Collyer ,470.26,567.72,581.65,320.59,1068.58,541.94,467.49,644.46,584.17,482.31,365.3,821.01,6915.48
153, Colony ,442.63,252.16,421.3,1121.47,1268.38,598.67,1032.51,335.35,1065.44,458.73,279.24,658.85,7934.73
154, Columbus ,36924.6,40439.67,41639.94,39714.2,48292.31,43697.1,43391.23,36792.41,38849.6,35928.29,24696.93,51777.02,482143.3
155, Concordia ,88364.89,96798.6,92450.1,88259.99,103151.17,111262.42,101261.42,103015.99,98412.73,90487.41,85004.23,122957.6,1181426.55
156, Conway Springs ,10356.01,10883.66,11655.74,11718.71,8288.55,12133.76,12114.58,11206.87,9002.33,11355.7,9680.67,13941.19,132337.77
157, Cottonwood Falls ,8598.95,6543.6,7995.19,6852.08,7391.31,10106.98,9070.57,7007.45,7969.24,8071.62,7745.73,9950.7,97303.42
158, Council Grove ,56180.14,66533.91,57673.73,54692.86,60370.96,69441.1,74513.25,61637.75,70863.65,61315.29,46920.73,79430.73,759574.1
159, Cunningham ,4897.34,4705.95,5351.89,4374.01,4924.06,4841.17,3953.45,4686.02,4790.12,4936.08,4849.77,5139.4,57449.26
160, Danville ,332.84,275.14,107.73,170.99,152.31,188.45,114.27,92.09,110.02,284.57,107.03,431.16,2366.6
161, Dearing ,1778.69,2801.86,3169.34,2436.9,1701.24,6953.18,4785.01,4150.61,5420.95,4019.98,4036.88,4846.02,46100.66
162, Deerfield ,7462.34,7329.05,7952.71,6823.66,9665.7,8465.46,8776.26,8768.28,5586.57,11226.36,12620.5,12156.22,106833.11
163, Delphos ,1212.45,1069.57,1441.62,1540.4,1508.24,1705.78,1569.81,1249.4,1455.94,1379.17,1105.94,1335.47,16573.79
164, Derby ,215756.32,270685.4,224261.02,194990.48,252248.0,253890.7,248024.46,242035.0,248333.14,222226.64,209350.47,280007.67,2861809.3
165, DeSoto ,77941.89,91304.62,82902.62,75077.7,85192.87,92543.94,88360.71,88881.46,99941.46,83301.69,88642.01,103277.99,1057368.96
166, Dighton ,9298.23,7681.64,8219.97,6226.36,8635.38,7792.13,8873.09,9084.08,7314.14,8549.84,8177.91,11226.25,101079.02
167, Dodge City ,430090.37,480170.78,453773.47,416838.47,531833.56,495839.72,517004.34,507846.64,510997.71,511286.43,408492.27,593546.47,5857720.23
168, Douglass ,7295.28,8319.74,17043.3,14366.87,15827.17,22031.3,16652.61,15599.98,19144.89,19997.03,15259.79,18575.47,190113.43
169, Downs ,5225.16,5342.52,5248.59,5116.06,6664.75,5187.64,5744.85,5384.94,5297.12,4832.7,3725.96,5733.17,63503.46
170, Easton ,2598.98,2395.36,2296.85,2348.09,2918.85,2831.23,2830.91,3304.57,2853.74,2561.72,2421.1,3374.19,32735.59
171, Edgerton ,46667.66,39275.98,34517.6,44288.91,43181.31,44765.31,35440.3,41982.99,52110.39,38250.47,46181.88,57278.0,523940.8
172, Edna ,6157.57,6399.07,6076.66,6091.21,6062.34,6144.08,7881.83,6795.52,7871.74,5961.25,5560.84,7375.58,78377.69
173, Edwardsville ,42367.98,55119.8,47227.01,50141.34,54495.96,54383.6,61712.23,57441.65,71140.22,57781.16,59556.54,65318.82,676686.31
174, Effingham ,1776.27,2005.76,1991.95,3108.14,1988.62,2326.53,2463.75,2311.62,2318.36,2831.67,1863.3,3998.68,28984.65
175, El Dorado ,188100.26,212131.26,193224.66,185003.39,213512.88,229808.05,217509.14,208429.75,216910.25,209008.4,185028.38,239313.83,2497980.25
176, Elkhart ,12564.7,17586.34,13610.35,14334.98,15836.01,16081.06,18438.5,16680.19,15445.73,14319.45,14353.15,16662.49,185912.95
177, Ellinwood ,6198.68,6597.06,5698.95,6395.92,6985.93,6501.59,5565.79,6222.92,6610.72,6491.16,6210.29,7350.82,76829.83
178, Ellis ,27682.76,31578.68,34738.76,19016.95,33676.5,35942.37,30414.1,39377.06,38416.46,39748.3,32653.31,40633.44,403878.69
179, Ellsworth ,33573.38,40531.33,38272.72,34579.18,37346.99,46916.94,36879.75,39827.62,40649.76,37906.59,33716.61,52167.61,472368.48
180, Elwood ,11640.92,6134.29,8914.86,10687.46,,,5233.63,19395.44,11743.38,8985.36,9420.48,17570.99,109726.81
181, Emporia ,344517.54,413448.33,364600.39,349727.01,434912.47,426237.09,409313.79,405573.05,412848.62,368966.86,324521.28,503485.74,4758152.17
182, Erie ,11582.94,11957.98,12532.02,10789.12,13546.88,10999.24,10877.87,10832.04,14446.88,11304.63,9815.94,15160.4,143845.94
183, Eskridge ,2382.11,2191.68,2580.02,2335.45,3108.45,1882.05,3133.89,2697.94,3151.79,2846.57,2790.16,2940.96,32041.07
184, Eudora ,51572.0,55418.1,52188.1,50133.61,49451.96,54141.42,51831.33,50056.67,56699.93,53087.8,46419.45,82850.58,653850.95
185, Eureka ,41180.9,44940.37,42693.74,37410.23,40791.96,56126.66,46265.59,50654.4,49197.1,41709.49,33269.19,63958.08,548197.71
186, Fairway ,63690.7,73256.93,57977.64,55250.77,62349.02,64395.45,65532.6,68673.59,74262.02,57379.9,67144.4,79746.05,789659.07
187, Florence ,4055.54,9435.9,2970.52,2104.64,3124.04,3583.89,3190.21,2397.15,3356.62,3331.38,2741.43,3927.2,44218.52
188, Fontana ,286.8,265.05,618.5,278.91,294.91,185.99,294.42,188.29,420.58,312.76,195.96,314.68,3656.85
189, Fort Scott ,178496.6,222592.31,196401.74,170539.79,220687.78,204904.57,203558.04,203993.95,227338.72,182478.84,169402.65,249945.88,2430340.87
190, Frankfort ,9176.99,10685.28,12236.62,9979.83,13507.12,10880.05,10785.72,14199.49,12453.09,15647.13,14205.85,18361.53,152118.7
191, Fredonia ,73808.65,81356.62,71306.48,68826.71,79185.55,87035.79,76987.41,78755.11,78469.45,78901.18,79884.84,83863.56,938381.35
192, Frontenac ,46951.12,53649.74,60307.91,45487.07,72666.39,54771.88,51785.55,52412.15,57547.62,52765.33,39836.02,70544.17,658724.95
193, Galena ,16663.39,16091.21,19114.35,19392.18,22220.15,18257.01,18630.18,13711.97,18178.85,17838.87,13859.29,23055.83,217013.28
194, Garden City ,596509.19,654966.43,627648.69,559449.56,692850.31,668409.75,695273.65,642578.94,696041.6,652362.38,575468.53,767673.08,7829232.11
195, Gardner ,335334.72,334003.17,340052.18,315673.84,368417.0,378160.72,362249.5,389201.82,387872.6,386185.3,328685.1,415783.71,4341619.66
196, Garnett ,20068.74,25034.58,21828.45,19995.97,26171.74,27305.62,20032.58,22007.12,23101.23,19692.45,13772.85,32708.73,271720.06
197, Gas ,3313.83,3346.33,4202.8,3434.68,3846.22,3859.89,3617.76,3870.26,3597.26,3205.94,2380.0,4760.34,43435.31
198, Geneseo ,1126.1,1483.65,1400.44,801.23,1449.49,3264.69,1687.5,1376.35,2463.87,2968.46,1426.78,2515.2,21963.76
199, Girard ,20540.5,24433.28,21558.69,19712.48,26374.04,23245.06,24638.66,27127.99,23570.64,24110.07,17745.82,29818.62,282875.85
200, Glade ,2817.66,2956.12,2012.71,2390.96,2786.04,2934.04,2170.72,2630.14,2813.79,2625.25,2037.65,2993.59,31168.67
201, Glasco ,2333.09,1416.6,2265.16,2025.64,2522.28,1655.97,1697.51,1924.28,2923.83,1593.54,828.73,2698.57,23885.2
202, Goddard ,87946.78,97336.38,86971.6,74760.6,108894.16,99813.0,105980.23,100055.62,108469.37,96047.03,79636.47,118200.23,1164111.47
203, Goodland ,21144.18,25764.46,23680.04,19863.96,25123.46,25343.89,24895.8,23230.44,26420.88,26380.88,19876.85,26456.83,288181.67
204, Grandview Plaza ,12585.71,11042.26,13373.45,10935.06,13185.82,12027.96,13878.44,13786.83,18228.86,13077.66,10771.43,27942.42,170835.9
205, Great Bend ,204559.2,237754.22,216607.37,192911.15,248922.8,272419.78,233308.48,237342.99,237576.38,237193.22,190924.58,280999.4,2790519.57
206, Greensburg ,10780.71,17124.55,10130.95,9239.23,11891.91,12224.63,12020.99,11346.91,13369.26,10601.43,11027.15,15111.21,144868.93
207, Grinnell ,750.77,749.27,401.24,381.22,805.84,701.93,622.2,572.07,1118.48,452.56,281.4,725.93,7562.91
208, Hardtner ,,,,,,,,,,,,,
209, Harper ,29852.74,26727.16,29509.77,28482.34,37125.52,41445.55,41201.74,36619.81,40907.54,33179.3,32300.35,35881.95,413233.77
210, Hartford ,1316.8,1949.71,2068.2,1743.36,2278.52,2241.05,2395.05,1762.9,1828.41,1597.02,2008.19,1859.65,23048.86
211, Haven ,5136.35,7311.7,4346.74,5034.67,6630.25,10.41,0.19,6.42,4.06,0.08,4.77,,28485.64
212, Hays ,820410.8,900620.4,838179.59,702589.07,980549.39,925831.2,917680.5,965451.72,1019250.02,908316.29,750130.99,1158520.42,10887530.39
213, Haysville ,55987.45,53326.24,64831.1,63091.15,63579.11,67389.48,72643.15,62902.51,79552.49,61824.39,43481.61,92226.59,780835.27
214, Herington ,34228.51,34675.53,45631.75,35406.96,40092.96,22411.46,21519.37,22490.15,22329.83,21720.45,19484.09,21943.98,341935.04
215, Hiawatha ,90606.32,98981.75,94089.49,81941.54,108274.95,97625.21,103630.35,95096.27,96183.42,89939.35,91401.21,106869.09,1154638.95
